"U:0","U:1","U:2","p"
0,0,0,-1.2993e-09
0,0,0,-2.3612e-07
0,0,0,-5.7913e-07
0,0,0,-6.2932e-07
0,0,0,-3.4248e-07
0,0,0,2.971e-07
0,0,0,1.3051e-06
0,0,0,2.6858e-06
0,0,0,4.4367e-06
0,0,0,6.553e-06
0,0,0,9.0301e-06
0,0,0,1.1863e-05
0,0,0,1.5046e-05
0,0,0,1.8573e-05
0,0,0,2.2439e-05
0,0,0,2.6636e-05
0,0,0,3.1157e-05
0,0,0,3.5994e-05
0,0,0,4.1139e-05
0,0,0,4.6582e-05
0,0,0,5.2314e-05
0,0,0,5.8325e-05
0,0,0,6.4605e-05
0,0,0,7.1141e-05
0,0,0,7.7923e-05
0,0,0,8.4938e-05
0,0,0,9.2174e-05
0,0,0,9.9618e-05
0,0,0,0.00010726
0,0,0,0.00011508
0,0,0,0.00012306
0,0,0,0.00013121
0,0,0,0.00013948
0,0,0,0.00014789
0,0,0,0.0001564
0,0,0,0.00016501
0,0,0,0.00017369
0,0,0,0.00018244
0,0,0,0.00019123
0,0,0,0.00020006
0,0,0,0.0002089
0,0,0,0.00021775
0,0,0,0.00022658
0,0,0,0.00023537
0,0,0,0.00024412
0,0,0,0.00025281
0,0,0,0.00026142
0,0,0,0.00026994
0,0,0,0.00027835
0,0,0,0.00028664
0,0,0,0.00029478
0,0,0,0.00030278
0,0,0,0.0003106
0,0,0,0.00031825
0,0,0,0.0003257
0,0,0,0.00033295
0,0,0,0.00033997
0,0,0,0.00034676
0,0,0,0.00035331
0,0,0,0.0003596
0,0,0,0.00036561
0,0,0,0.00037135
0,0,0,0.0003768
0,0,0,0.00038195
0,0,0,0.00038679
0,0,0,0.00039131
0,0,0,0.0003955
0,0,0,0.00039936
0,0,0,0.00040288
0,0,0,0.00040605
0,0,0,0.00040887
0,0,0,0.00041132
0,0,0,0.00041341
0,0,0,0.00041513
0,0,0,0.00041647
0,0,0,0.00041743
0,0,0,0.00041801
0,0,0,0.00041821
0,0,0,0.00041806
0,0,0,0.00041763
0,0,0,0.00041736
0,0,0,6.8102e-07
-2.3101e-06,5.0656e-06,0,4.003e-07
-7.0108e-06,9.2018e-06,0,4.775e-09
-1.3901e-05,1.1729e-05,0,-4.0838e-08
-2.1877e-05,1.3008e-05,0,2.6955e-07
-3.0295e-05,1.3531e-05,0,9.2967e-07
-3.8873e-05,1.3663e-05,0,1.9501e-06
-4.7471e-05,1.3614e-05,0,3.3362e-06
-5.6017e-05,1.3487e-05,0,5.0873e-06
-6.4474e-05,1.3321e-05,0,7.2003e-06
-7.2824e-05,1.3133e-05,0,9.6714e-06
-8.105e-05,1.2925e-05,0,1.2496e-05
-8.9139e-05,1.2698e-05,0,1.567e-05
-9.7078e-05,1.2452e-05,0,1.9188e-05
-0.00010485,1.2187e-05,0,2.3042e-05
-0.00011245,1.1901e-05,0,2.7227e-05
-0.00011987,1.1596e-05,0,3.1735e-05
-0.00012708,1.1272e-05,0,3.6559e-05
-0.00013408,1.0929e-05,0,4.1689e-05
-0.00014086,1.0568e-05,0,4.7117e-05
-0.0001474,1.0189e-05,0,5.2833e-05
-0.00015369,9.7935e-06,0,5.8828e-05
-0.00015973,9.3812e-06,0,6.5089e-05
-0.00016551,8.9533e-06,0,7.1608e-05
-0.000171,8.5104e-06,0,7.8371e-05
-0.00017621,8.0532e-06,0,8.5366e-05
-0.00018113,7.5825e-06,0,9.2583e-05
-0.00018575,7.0991e-06,0,0.00010001
-0.00019005,6.6038e-06,0,0.00010762
-0.00019404,6.0974e-06,0,0.00011542
-0.00019771,5.5808e-06,0,0.00012339
-0.00020104,5.0548e-06,0,0.00013151
-0.00020404,4.5203e-06,0,0.00013976
-0.0002067,3.9783e-06,0,0.00014814
-0.00020901,3.4295e-06,0,0.00015663
-0.00021098,2.8749e-06,0,0.00016521
-0.00021259,2.3155e-06,0,0.00017387
-0.00021385,1.7522e-06,0,0.0001826
-0.00021475,1.1859e-06,0,0.00019137
-0.0002153,6.1793e-07,0,0.00020017
-0.00021548,4.9591e-08,0,0.00020899
-0.00021531,-5.1846e-07,0,0.00021781
-0.00021477,-1.0861e-06,0,0.00022661
-0.00021388,-1.6525e-06,0,0.00023539
-0.00021263,-2.2163e-06,0,0.00024411
-0.00021102,-2.7764e-06,0,0.00025278
-0.00020906,-3.3319e-06,0,0.00026136
-0.00020676,-3.8818e-06,0,0.00026986
-0.00020411,-4.4252e-06,0,0.00027824
-0.00020111,-4.9612e-06,0,0.0002865
-0.00019778,-5.4889e-06,0,0.00029463
-0.00019412,-6.0074e-06,0,0.0003026
-0.00019014,-6.5158e-06,0,0.0003104
-0.00018584,-7.0133e-06,0,0.00031803
-0.00018123,-7.499e-06,0,0.00032546
-0.00017631,-7.9721e-06,0,0.00033268
-0.00017111,-8.4318e-06,0,0.00033968
-0.00016561,-8.8774e-06,0,0.00034645
-0.00015984,-9.3081e-06,0,0.00035298
-0.0001538,-9.7232e-06,0,0.00035925
-0.0001475,-1.0122e-05,0,0.00036525
-0.00014096,-1.0504e-05,0,0.00037096
-0.00013418,-1.0868e-05,0,0.00037639
-0.00012718,-1.1215e-05,0,0.00038153
-0.00011996,-1.1542e-05,0,0.00038635
-0.00011254,-1.1851e-05,0,0.00039085
-0.00010494,-1.214e-05,0,0.00039503
-9.7153e-05,-1.2409e-05,0,0.00039888
-8.9206e-05,-1.2659e-05,0,0.00040238
-8.111e-05,-1.2889e-05,0,0.00040554
-7.2876e-05,-1.3098e-05,0,0.00040835
-6.452e-05,-1.3286e-05,0,0.0004108
-5.6056e-05,-1.3448e-05,0,0.00041288
-4.7507e-05,-1.3568e-05,0,0.0004146
-3.8908e-05,-1.3605e-05,0,0.00041594
-3.0332e-05,-1.346e-05,0,0.00041692
-2.1918e-05,-1.2927e-05,0,0.00041752
-1.3956e-05,-1.1647e-05,0,0.00041775
-7.0657e-06,-9.1322e-06,0,0.00041762
-2.3599e-06,-5.0641e-06,0,0.00041714
0,0,0,0.00041682
0,0,0,1.0779e-06
-3.5971e-06,1.3895e-05,0,7.1078e-07
-1.0232e-05,2.376e-05,0,1.953e-07
-1.9615e-05,2.9582e-05,0,1.1244e-07
-3.0292e-05,3.2531e-05,0,4.2329e-07
-4.1498e-05,3.3775e-05,0,1.0912e-06
-5.29e-05,3.4127e-05,0,2.1173e-06
-6.4331e-05,3.4048e-05,0,3.5058e-06
-7.5704e-05,3.3763e-05,0,5.2568e-06
-8.6969e-05,3.337e-05,0,7.3681e-06
-9.8096e-05,3.2908e-05,0,9.8366e-06
-0.00010906,3.2389e-05,0,1.2658e-05
-0.00011985,3.1818e-05,0,1.5829e-05
-0.00013043,3.1196e-05,0,1.9343e-05
-0.0001408,3.0523e-05,0,2.3194e-05
-0.00015093,2.98e-05,0,2.7376e-05
-0.00016081,2.9028e-05,0,3.1881e-05
-0.00017043,2.8209e-05,0,3.6701e-05
-0.00017976,2.7343e-05,0,4.1829e-05
-0.00018879,2.6431e-05,0,4.7254e-05
-0.00019751,2.5475e-05,0,5.2968e-05
-0.0002059,2.4477e-05,0,5.8959e-05
-0.00021394,2.3439e-05,0,6.5219e-05
-0.00022164,2.2361e-05,0,7.1734e-05
-0.00022896,2.1246e-05,0,7.8495e-05
-0.0002359,2.0095e-05,0,8.5488e-05
-0.00024245,1.8911e-05,0,9.2702e-05
-0.0002486,1.7695e-05,0,0.00010012
-0.00025434,1.645e-05,0,0.00010774
-0.00025965,1.5177e-05,0,0.00011553
-0.00026453,1.3879e-05,0,0.0001235
-0.00026897,1.2558e-05,0,0.00013161
-0.00027297,1.1215e-05,0,0.00013987
-0.00027651,9.8542e-06,0,0.00014824
-0.00027959,8.4765e-06,0,0.00015673
-0.00028221,7.0846e-06,0,0.00016531
-0.00028436,5.6808e-06,0,0.00017397
-0.00028604,4.2675e-06,0,0.00018269
-0.00028724,2.8469e-06,0,0.00019146
-0.00028796,1.4216e-06,0,0.00020026
-0.0002882,-6.1245e-09,0,0.00020908
