"U:0","U:1","U:2","p"
0,0,0,-5.6858e-08
0,0,0,-0.0042423
0,0,0,-0.013908
0,0,0,-0.024761
0,0,0,-0.034351
0,0,0,-0.041969
0,0,0,-0.048403
0,0,0,-0.054014
0,0,0,-0.059018
0,0,0,-0.063559
0,0,0,-0.067744
0,0,0,-0.071642
0,0,0,-0.075291
0,0,0,-0.078734
0,0,0,-0.082014
0,0,0,-0.085153
0,0,0,-0.088149
0,0,0,-0.090995
0,0,0,-0.093696
0,0,0,-0.096273
0,0,0,-0.098743
0,0,0,-0.10111
0,0,0,-0.10336
0,0,0,-0.10549
0,0,0,-0.10749
0,0,0,-0.10935
0,0,0,-0.1111
0,0,0,-0.11275
0,0,0,-0.11431
0,0,0,-0.11578
0,0,0,-0.11717
0,0,0,-0.11849
0,0,0,-0.11972
0,0,0,-0.12088
0,0,0,-0.12196
0,0,0,-0.12297
0,0,0,-0.12391
0,0,0,-0.12479
0,0,0,-0.12561
0,0,0,-0.12639
0,0,0,-0.12711
0,0,0,-0.1278
0,0,0,-0.12845
0,0,0,-0.12906
0,0,0,-0.12964
0,0,0,-0.13018
0,0,0,-0.13069
0,0,0,-0.13117
0,0,0,-0.13161
0,0,0,-0.13203
0,0,0,-0.13243
0,0,0,-0.1328
0,0,0,-0.13314
0,0,0,-0.13346
0,0,0,-0.13377
0,0,0,-0.13405
0,0,0,-0.13433
0,0,0,-0.13459
0,0,0,-0.13484
0,0,0,-0.13509
0,0,0,-0.13534
0,0,0,-0.13559
0,0,0,-0.13584
0,0,0,-0.13609
0,0,0,-0.13634
0,0,0,-0.13659
0,0,0,-0.13685
0,0,0,-0.13711
0,0,0,-0.13737
0,0,0,-0.13763
0,0,0,-0.13789
0,0,0,-0.13813
0,0,0,-0.13835
0,0,0,-0.13855
0,0,0,-0.13873
0,0,0,-0.13888
0,0,0,-0.139
0,0,0,-0.13908
0,0,0,-0.13913
0,0,0,-0.13913
0,0,0,-0.13912
0,0,0,-0.010275
-0.00010759,6.5791e-05,0,-0.013833
-0.00013092,-2.8938e-05,0,-0.021831
-0.00014144,-6.6836e-05,0,-0.030798
-0.00010661,-8.4049e-05,0,-0.039095
-9.1022e-05,-8.5638e-05,0,-0.046132
-7.131e-05,-8.2556e-05,0,-0.052272
-5.2719e-05,-7.7894e-05,0,-0.057714
-3.6195e-05,-7.3245e-05,0,-0.06261
-2.1815e-05,-6.8845e-05,0,-0.06707
-9.9687e-06,-6.4581e-05,0,-0.071183
1.1335e-07,-6.0588e-05,0,-0.075013
8.824e-06,-5.681e-05,0,-0.078593
1.5954e-05,-5.2965e-05,0,-0.081957
2.1535e-05,-4.8908e-05,0,-0.085143
2.599e-05,-4.4772e-05,0,-0.08818
2.9688e-05,-4.0803e-05,0,-0.091075
3.2672e-05,-3.7127e-05,0,-0.093822
3.4803e-05,-3.3683e-05,0,-0.096422
3.6023e-05,-3.0329e-05,0,-0.098886
3.6448e-05,-2.7002e-05,0,-0.10123
3.6279e-05,-2.3781e-05,0,-0.10346
3.5702e-05,-2.0846e-05,0,-0.10559
3.4852e-05,-1.8382e-05,0,-0.10759
3.3842e-05,-1.6494e-05,0,-0.10948
3.2785e-05,-1.5178e-05,0,-0.11125
3.1794e-05,-1.4344e-05,0,-0.11291
3.0982e-05,-1.3878e-05,0,-0.11447
3.0464e-05,-1.3682e-05,0,-0.11593
3.0342e-05,-1.3701e-05,0,-0.1173
3.0715e-05,-1.3906e-05,0,-0.11859
3.1674e-05,-1.4286e-05,0,-0.11981
3.3294e-05,-1.4826e-05,0,-0.12095
3.5626e-05,-1.55e-05,0,-0.12202
3.8686e-05,-1.6266e-05,0,-0.12302
4.2456e-05,-1.7074e-05,0,-0.12396
4.6888e-05,-1.787e-05,0,-0.12483
5.1919e-05,-1.8603e-05,0,-0.12566
5.7475e-05,-1.9229e-05,0,-0.12643
6.3484e-05,-1.9717e-05,0,-0.12715
6.9873e-05,-2.0045e-05,0,-0.12784
7.6565e-05,-2.0203e-05,0,-0.12848
8.3483e-05,-2.0187e-05,0,-0.12909
9.0545e-05,-1.9999e-05,0,-0.12966
9.7668e-05,-1.9646e-05,0,-0.1302
0.00010477,-1.9136e-05,0,-0.13071
0.00011179,-1.8481e-05,0,-0.13119
0.00011864,-1.7694e-05,0,-0.13164
0.00012526,-1.679e-05,0,-0.13206
0.0001316,-1.5783e-05,0,-0.13246
0.00013758,-1.4678e-05,0,-0.13284
0.00014316,-1.3472e-05,0,-0.13319
0.00014826,-1.2149e-05,0,-0.13352
0.00015283,-1.0687e-05,0,-0.13383
0.00015678,-9.0577e-06,0,-0.13412
0.00016004,-7.238e-06,0,-0.13439
0.00016254,-5.2173e-06,0,-0.13465
0.00016419,-3.0015e-06,0,-0.1349
0.00016491,-6.1491e-07,0,-0.13514
0.00016464,1.9017e-06,0,-0.13538
0.00016334,4.4966e-06,0,-0.13561
0.00016098,7.1131e-06,0,-0.13584
0.00015754,9.6954e-06,0,-0.13607
0.00015303,1.2193e-05,0,-0.13631
0.00014748,1.4563e-05,0,-0.13655
0.0001409,1.6768e-05,0,-0.13679
0.00013335,1.8768e-05,0,-0.13704
0.00012492,2.0521e-05,0,-0.13729
0.00011568,2.199e-05,0,-0.13754
0.00010576,2.3143e-05,0,-0.13779
9.5298e-05,2.3953e-05,0,-0.13804
8.4439e-05,2.4397e-05,0,-0.13828
7.3334e-05,2.447e-05,0,-0.13849
6.2154e-05,2.419e-05,0,-0.13869
5.1095e-05,2.3609e-05,0,-0.13887
4.0362e-05,2.2814e-05,0,-0.13902
2.9997e-05,2.1937e-05,0,-0.13915
2.0603e-05,2.1272e-05,0,-0.13924
1.1645e-05,2.0409e-05,0,-0.1393
4.6595e-06,1.5466e-05,0,-0.13932
0,0,0,-0.13932
0,0,0,-0.032348
-3.7424e-05,0.0001871,0,-0.034525
-5.6406e-05,6.8258e-05,0,-0.039346
-7.4268e-05,-3.6493e-05,0,-0.044878
-7.4252e-05,-8.8054e-05,0,-0.050607
-7.0339e-05,-0.00010148,0,-0.056146
-6.4974e-05,-9.8766e-05,0,-0.061353
-6.0175e-05,-9.0274e-05,0,-0.066184
-5.736e-05,-8.0146e-05,0,-0.070654
-5.6159e-05,-7.0607e-05,0,-0.074794
-5.6785e-05,-6.2116e-05,0,-0.078642
-5.8731e-05,-5.4718e-05,0,-0.082235
-6.1321e-05,-4.8442e-05,0,-0.085599
-6.4406e-05,-4.3076e-05,0,-0.088751
-6.798e-05,-3.8235e-05,0,-0.091712
-7.1817e-05,-3.3658e-05,0,-0.094507
-7.5587e-05,-2.9335e-05,0,-0.097152
-7.9076e-05,-2.539e-05,0,-0.099655
-8.2244e-05,-2.1898e-05,0,-0.10202
-8.5152e-05,-1.8814e-05,0,-0.10425
-8.7876e-05,-1.6031e-05,0,-0.10635
-9.0472e-05,-1.348e-05,0,-0.10832
-9.2961e-05,-1.1178e-05,0,-0.11018
-9.5311e-05,-9.2354e-06,0,-0.11193
-9.7433e-05,-7.7976e-06,0,-0.11358
-9.9208e-05,-6.9946e-06,0,-0.11513
-0.00010055,-6.8882e-06,0,-0.11659
-0.00010144,-7.4552e-06,0,-0.11796
-0.00010191,-8.6071e-06,0,-0.11923
-0.000102,-1.0222e-05,0,-0.12041
-0.00010173,-1.2173e-05,0,-0.12151
-0.00010108,-1.4341e-05,0,-0.12253
-9.9992e-05,-1.662e-05,0,-0.12349
-9.8428e-05,-1.8921e-05,0,-0.12438
-9.6346e-05,-2.1169e-05,0,-0.12522
-9.3728e-05,-2.3303e-05,0,-0.12601
-9.0576e-05,-2.527e-05,0,-0.12674
-8.6901e-05,-2.7029e-05,0,-0.12744
-8.2718e-05,-2.8549e-05,0,-0.12809
-7.8049e-05,-2.9808e-05,0,-0.1287
-7.2921e-05,-3.0792e-05,0,-0.12928
-6.7373e-05,-3.1492e-05,0,-0.12983
-6.1449e-05,-3.1904e-05,0,-0.13035
-5.52e-05,-3.2026e-05,0,-0.13084
-4.8673e-05,-3.1859e-05,0,-0.1313
-4.1911e-05,-3.141e-05,0,-0.13173
-3.4956e-05,-3.0686e-05,0,-0.13214
-2.7848e-05,-2.9701e-05,0,-0.13253
-2.0632e-05,-2.8469e-05,0,-0.1329
-1.336e-05,-2.7002e-05,0,-0.13325
-6.0904e-06,-2.5308e-05,0,-0.13358
1.1137e-06,-2.3385e-05,0,-0.13389
8.188e-06,-2.1218e-05,0,-0.13418
1.5069e-05,-1.8788e-05,0,-0.13445
2.1696e-05,-1.6071e-05,0,-0.1347
2.8007e-05,-1.305e-05,0,-0.13495
3.3939e-05,-9.7198e-06,0,-0.13518
3.9428e-05,-6.0944e-06,0,-0.1354
4.4403e-05,-2.2069e-06,0,-0.13561
4.8796e-05,1.8918e-06,0,-0.13582
5.2536e-05,6.1382e-06,0,-0.13603
5.5561e-05,1.0462e-05,0,-0.13623
5.7809e-05,1.4793e-05,0,-0.13645
5.9232e-05,1.9062e-05,0,-0.13666
5.9782e-05,2.3202e-05,0,-0.13689
5.942e-05,2.7152e-05,0,-0.13712
5.8125e-05,3.0845e-05,0,-0.13735
5.5902e-05,3.4212e-05,0,-0.1376
5.2791e-05,3.7176e-05,0,-0.13785
4.8856e-05,3.9662e-05,0,-0.1381
4.417e-05,4.1596e-05,0,-0.13835
3.8811e-05,4.2903e-05,0,-0.13858
3.2886e-05,4.3522e-05,0,-0.1388
2.6565e-05,4.3411e-05,0,-0.13901
2.0075e-05,4.2548e-05,0,-0.13919
1.3693e-05,4.0905e-05,0,-0.13935
7.6554e-06,3.8499e-05,0,-0.13949
3.0846e-06,3.5547e-05,0,-0.13961
1.9947e-07,3.1463e-05,0,-0.1397
-7.8877e-07,2.2172e-05,0,-0.13978
0,0,0,-0.13981
0,0,0,-0.053291
7.235e-06,0.0002395,0,-0.05437
8.2597e-06,0.00014198,0,-0.056872
-2.831e-07,4.8004e-06,0,-0.060012
-4.3544e-06,-6.6984e-05,0,-0.06363
-6.1276e-06,-8.8877e-05,0,-0.067484
-9.5393e-06,-8.6988e-05,0,-0.071381
-1.4373e-05,-7.5904e-05,0,-0.075212
-2.0728e-05,-6.1868e-05,0,-0.078906
-2.9057e-05,-4.8311e-05,0,-0.08243
-3.8717e-05,-3.6602e-05,0,-0.085774
-4.9445e-05,-2.6925e-05,0,-0.088934
-6.1005e-05,-1.9191e-05,0,-0.091919
-7.2915e-05,-1.3226e-05,0,-0.094742
-8.4671e-05,-8.6882e-06,0,-0.097411
-9.6013e-05,-5.1379e-06,0,-0.099925
-0.00010694,-2.2057e-06,0,-0.10229
-0.00011749,3.0858e-07,0,-0.10451
-0.00012759,2.4563e-06,0,-0.10661
-0.00013704,4.2236e-06,0,-0.1086
-0.00014567,5.6006e-06,0,-0.11048
-0.00015345,6.6014e-06,0,-0.11224
-0.00016051,7.2463e-06,0,-0.11389
-0.00016703,7.5383e-06,0,-0.11543
-0.00017314,7.4504e-06,0,-0.11686
-0.00017888,6.9243e-06,0,-0.11821
-0.0001842,5.8922e-06,0,-0.11948
-0.00018903,4.3117e-06,0,-0.12067
-0.00019334,2.185e-06,0,-0.12178
-0.00019716,-4.4129e-07,0,-0.12281
-0.00020048,-3.4856e-06,0,-0.12376
-0.00020333,-6.8431e-06,0,-0.12464
-0.00020568,-1.0399e-05,0,-0.12546
-0.00020751,-1.4042e-05,0,-0.12622
-0.00020883,-1.7673e-05,0,-0.12693
-0.0002096,-2.1207e-05,0,-0.1276
-0.00020982,-2.4569e-05,0,-0.12822
-0.00020946,-2.7699e-05,0,-0.1288
-0.00020849,-3.0554e-05,0,-0.12934
-0.0002069,-3.3106e-05,0,-0.12985
-0.00020464,-3.5335e-05,0,-0.13034
-0.00020172,-3.7231e-05,0,-0.1308
-0.00019813,-3.8788e-05,0,-0.13123
-0.00019388,-3.9997e-05,0,-0.13164
-0.00018899,-4.0853e-05,0,-0.13203
