"U:0","U:1","U:2","p"
0,0,0,4.12e-06
0,0,0,-0.3273
0,0,0,-0.87206
0,0,0,-1.2474
0,0,0,-1.5491
0,0,0,-1.8288
0,0,0,-2.1052
0,0,0,-2.4065
0,0,0,-2.7305
0,0,0,-3.0701
0,0,0,-3.4242
0,0,0,-3.777
0,0,0,-4.1311
0,0,0,-4.4827
0,0,0,-4.8222
0,0,0,-5.1518
0,0,0,-5.467
0,0,0,-5.7622
0,0,0,-6.0426
0,0,0,-6.3108
0,0,0,-6.5592
0,0,0,-6.7846
0,0,0,-6.9968
0,0,0,-7.205
0,0,0,-7.4053
0,0,0,-7.5881
0,0,0,-7.7525
0,0,0,-7.9095
0,0,0,-8.0696
0,0,0,-8.2325
0,0,0,-8.389
0,0,0,-8.5318
0,0,0,-8.6638
0,0,0,-8.795
0,0,0,-8.9325
0,0,0,-9.0733
0,0,0,-9.206
0,0,0,-9.3202
0,0,0,-9.4137
0,0,0,-9.4933
0,0,0,-9.5681
0,0,0,-9.6416
0,0,0,-9.7092
0,0,0,-9.7617
0,0,0,-9.7922
0,0,0,-9.7998
0,0,0,-9.7907
0,0,0,-9.7735
0,0,0,-9.7563
0,0,0,-9.7438
0,0,0,-9.7372
0,0,0,-9.7348
0,0,0,-9.7329
0,0,0,-9.7263
0,0,0,-9.7095
0,0,0,-9.6783
0,0,0,-9.6325
0,0,0,-9.5761
0,0,0,-9.5161
0,0,0,-9.4601
0,0,0,-9.4129
0,0,0,-9.3743
0,0,0,-9.3391
0,0,0,-9.2991
0,0,0,-9.2462
0,0,0,-9.1754
0,0,0,-9.0867
0,0,0,-8.9856
0,0,0,-8.8824
0,0,0,-8.7893
0,0,0,-8.7171
0,0,0,-8.6718
0,0,0,-8.6532
0,0,0,-8.6544
0,0,0,-8.6642
0,0,0,-8.6718
0,0,0,-8.6714
0,0,0,-8.6683
0,0,0,-8.6739
0,0,0,-8.6946
0,0,0,-8.7089
0,0,0,-0.1605
-0.019608,0.024285,0,-0.59607
-0.034795,0.013357,0,-1.3473
-0.041844,-0.012883,0,-1.9181
-0.036832,-0.031333,0,-2.4221
-0.024185,-0.039501,0,-2.8923
-0.009622,-0.04193,0,-3.324
0.0052988,-0.040885,0,-3.7423
0.019755,-0.037964,0,-4.1446
0.032406,-0.034186,0,-4.5317
0.043528,-0.029885,0,-4.9094
0.053028,-0.025709,0,-5.2676
0.060555,-0.021607,0,-5.6095
0.066667,-0.017835,0,-5.9378
