"U:0","U:1","U:2","p"
0,0,0,2.2098e-08
0,0,0,-1.9789e-05
0,0,0,0.01042
0,0,0,0.033389
0,0,0,0.054649
0,0,0,0.068191
0,0,0,0.075483
0,0,0,0.079808
0,0,0,0.083756
0,0,0,0.088587
0,0,0,0.094478
0,0,0,0.10108
0,0,0,0.10819
0,0,0,0.11593
0,0,0,0.1243
0,0,0,0.13317
0,0,0,0.14257
0,0,0,0.15261
0,0,0,0.16328
0,0,0,0.17476
0,0,0,0.18727
0,0,0,0.2007
0,0,0,0.2146
0,0,0,0.22863
0,0,0,0.24272
0,0,0,0.25692
0,0,0,0.27123
0,0,0,0.28571
0,0,0,0.30048
0,0,0,0.3158
0,0,0,0.33199
0,0,0,0.34901
0,0,0,0.36643
0,0,0,0.38362
0,0,0,0.40025
0,0,0,0.41649
0,0,0,0.43257
0,0,0,0.44853
0,0,0,0.46451
0,0,0,0.48078
0,0,0,0.49748
0,0,0,0.51459
0,0,0,0.53218
0,0,0,0.55033
0,0,0,0.5689
0,0,0,0.58757
0,0,0,0.60602
0,0,0,0.62404
0,0,0,0.64161
0,0,0,0.65872
0,0,0,0.67541
0,0,0,0.69162
0,0,0,0.7073
0,0,0,0.72244
0,0,0,0.73706
0,0,0,0.75117
0,0,0,0.7649
0,0,0,0.77835
0,0,0,0.79157
0,0,0,0.80456
0,0,0,0.81725
0,0,0,0.82955
0,0,0,0.84142
0,0,0,0.85268
0,0,0,0.86308
0,0,0,0.8724
0,0,0,0.88049
0,0,0,0.88713
0,0,0,0.89214
0,0,0,0.89561
0,0,0,0.89779
0,0,0,0.89881
0,0,0,0.89864
0,0,0,0.89715
0,0,0,0.89436
0,0,0,0.89052
0,0,0,0.88607
0,0,0,0.8815
0,0,0,0.8774
0,0,0,0.87458
0,0,0,0.87359
0,0,0,0.0026639
-0.00012595,0.0003002,0,0.0039378
-0.00092981,0.00046617,0,0.015396
-0.0019085,0.00033364,0,0.037325
-0.0026425,0.00019022,0,0.057194
-0.0031704,0.00012673,0,0.069766
-0.0036476,0.00012347,0,0.076611
-0.0041668,0.00014629,0,0.080845
-0.0047544,0.00017098,0,0.084863
-0.0053999,0.00018789,0,0.089807
-0.0060825,0.00019576,0,0.095769
-0.0067822,0.00019801,0,0.10239
-0.007484,0.00019896,0,0.10952
-0.0081806,0.00019755,0,0.11725
-0.0088677,0.00019341,0,0.12559
-0.0095401,0.00018944,0,0.13443
-0.010194,0.0001856,0,0.14381
-0.010827,0.00018045,0,0.15379
-0.011439,0.00017544,0,0.16444
-0.012025,0.00016984,0,0.1759
-0.01258,0.00015993,0,0.18836
-0.013097,0.00014561,0,0.20169
-0.013573,0.00013125,0,0.21549
-0.014009,0.00011993,0,0.22944
-0.014409,0.00011016,0,0.24347
-0.014776,0.00010133,0,0.2576
-0.015116,9.446e-05,0,0.27186
-0.015432,8.9513e-05,0,0.2863
-0.015729,8.5855e-05,0,0.30102
-0.016006,8.065e-05,0,0.3163
-0.016256,7.1119e-05,0,0.33245
-0.016472,5.721e-05,0,0.34939
-0.016649,4.1816e-05,0,0.3667
-0.016792,3.0393e-05,0,0.3838
-0.016911,2.5687e-05,0,0.40039
-0.017015,2.4389e-05,0,0.41661
-0.017113,2.4177e-05,0,0.43268
-0.017208,2.5407e-05,0,0.44865
-0.017297,2.6582e-05,0,0.46466
-0.017379,2.6096e-05,0,0.48095
-0.017452,2.3754e-05,0,0.49764
-0.01751,1.9492e-05,0,0.51471
-0.017548,1.2455e-05,0,0.53226
-0.01756,2.3914e-06,0,0.55034
-0.017542,-9.8344e-06,0,0.56882
-0.017489,-2.3178e-05,0,0.58739
