"U:0","U:1","U:2","p"
0,0,0,-2.9925e-09
0,0,0,-9.5702e-05
0,0,0,-0.0002378
0,0,0,-0.00027815
0,0,0,-0.00021599
0,0,0,-5.814e-05
0,0,0,0.00018827
0,0,0,0.00051882
0,0,0,0.00093066
0,0,0,0.0014215
0,0,0,0.0019892
0,0,0,0.0026317
0,0,0,0.0033468
0,0,0,0.0041322
0,0,0,0.0049857
0,0,0,0.0059047
0,0,0,0.0068867
0,0,0,0.0079292
0,0,0,0.0090295
0,0,0,0.010185
0,0,0,0.011393
0,0,0,0.012651
0,0,0,0.013957
0,0,0,0.015307
0,0,0,0.0167
0,0,0,0.018133
0,0,0,0.019604
0,0,0,0.021109
0,0,0,0.022646
0,0,0,0.024214
0,0,0,0.025809
0,0,0,0.027429
0,0,0,0.029072
0,0,0,0.030736
0,0,0,0.032418
0,0,0,0.034117
0,0,0,0.03583
0,0,0,0.037556
0,0,0,0.039293
0,0,0,0.041038
0,0,0,0.04279
0,0,0,0.044548
0,0,0,0.046308
0,0,0,0.048069
0,0,0,0.049828
0,0,0,0.051585
0,0,0,0.053336
0,0,0,0.055079
0,0,0,0.056812
0,0,0,0.058533
0,0,0,0.06024
0,0,0,0.061929
0,0,0,0.0636
0,0,0,0.065248
0,0,0,0.066872
0,0,0,0.068468
0,0,0,0.070034
0,0,0,0.071567
0,0,0,0.073063
0,0,0,0.074519
0,0,0,0.075932
0,0,0,0.077298
0,0,0,0.078613
0,0,0,0.079873
0,0,0,0.081076
0,0,0,0.082217
0,0,0,0.083292
0,0,0,0.084297
0,0,0,0.08523
0,0,0,0.086086
0,0,0,0.086863
0,0,0,0.087557
0,0,0,0.088164
0,0,0,0.088684
0,0,0,0.089112
0,0,0,0.089447
0,0,0,0.089685
0,0,0,0.089822
0,0,0,0.089859
0,0,0,0.08979
0,0,0,0.089728
0,0,0,1.7616e-06
-0.00011152,5.7075e-05,0,-8.6335e-05
-0.00041024,0.00012357,0,-0.00021465
-0.00083855,0.00014828,0,-0.00024617
-0.0012976,0.0001536,0,-0.00018062
-0.0017615,0.00015295,0,-2.1903e-05
-0.0022206,0.00015062,0,0.00022444
-0.002672,0.00014777,0,0.00055454
-0.0031143,0.00014462,0,0.00096572
-0.0035465,0.00014115,0,0.0014558
-0.0039677,0.00013737,0,0.0020226
-0.004377,0.00013331,0,0.0026641
-0.0047734,0.00012898,0,0.0033781
-0.0051562,0.00012443,0,0.0041625
-0.0055249,0.00011969,0,0.0050148
-0.0058789,0.00011481,0,0.0059326
-0.0062178,0.00010981,0,0.0069134
-0.0065414,0.00010474,0,0.0079546
-0.0068495,9.9618e-05,0,0.0090536
-0.007142,9.4484e-05,0,0.010208
-0.0074189,8.9359e-05,0,0.011415
-0.0076803,8.4266e-05,0,0.012672
-0.0079263,7.9224e-05,0,0.013976
-0.0081571,7.425e-05,0,0.015325
-0.008373,6.9359e-05,0,0.016717
-0.0085741,6.4563e-05,0,0.018149
-0.0087609,5.9869e-05,0,0.019618
-0.0089337,5.5281e-05,0,0.021122
-0.0090927,5.0803e-05,0,0.022658
-0.0092383,4.6435e-05,0,0.024225
-0.0093709,4.2172e-05,0,0.025819
-0.0094907,3.8011e-05,0,0.027438
-0.0095982,3.3946e-05,0,0.02908
-0.0096935,2.9971e-05,0,0.030743
-0.0097768,2.6078e-05,0,0.032424
-0.0098486,2.2256e-05,0,0.034122
-0.0099089,1.8497e-05,0,0.035835
-0.0099579,1.4787e-05,0,0.03756
-0.0099957,1.1115e-05,0,0.039295
-0.010023,7.4649e-06,0,0.04104
-0.010038,3.8217e-06,0,0.042791
-0.010043,1.7208e-07,0,0.044547
-0.010037,-3.5009e-06,0,0.046306
-0.010019,-7.2092e-06,0,0.048066
-0.0099906,-1.0968e-05,0,0.049825
-0.0099505,-1.4792e-05,0,0.051581
-0.0098987,-1.8693e-05,0,0.053331
-0.009835,-2.2688e-05,0,0.055073
-0.0097591,-2.6787e-05,0,0.056805
-0.0096708,-3.1002e-05,0,0.058525
-0.0095695,-3.5345e-05,0,0.060231
-0.009455,-3.9824e-05,0,0.061919
-0.0093267,-4.4449e-05,0,0.063588
-0.0091844,-4.9228e-05,0,0.065236
-0.0090274,-5.4164e-05,0,0.066858
-0.0088553,-5.9263e-05,0,0.068453
-0.0086677,-6.4524e-05,0,0.070018
-0.008464,-6.9942e-05,0,0.07155
-0.0082439,-7.551e-05,0,0.073044
-0.0080068,-8.1217e-05,0,0.074499
-0.0077525,-8.7044e-05,0,0.075911
-0.0074807,-9.2969e-05,0,0.077275
-0.0071909,-9.8968e-05,0,0.078589
-0.0068832,-0.00010501,0,0.079848
-0.0065574,-0.00011105,0,0.081049
-0.0062136,-0.00011707,0,0.082188
