"U:0","U:1","U:2","p"
0,0,0,-2.6592e-06
0,0,0,-19.566
0,0,0,-61.639
0,0,0,-102.21
0,0,0,-134.31
0,0,0,-159.23
0,0,0,-178.65
0,0,0,-194.11
0,0,0,-207.03
0,0,0,-218.34
0,0,0,-228.55
0,0,0,-237.95
0,0,0,-246.65
0,0,0,-254.62
0,0,0,-261.89
0,0,0,-268.44
0,0,0,-274.33
0,0,0,-279.72
0,0,0,-284.72
0,0,0,-289.4
0,0,0,-293.73
0,0,0,-297.57
0,0,0,-301.14
0,0,0,-304.85
0,0,0,-308.74
0,0,0,-312.53
0,0,0,-316.06
0,0,0,-319.43
0,0,0,-322.77
0,0,0,-325.96
0,0,0,-328.79
0,0,0,-331.24
0,0,0,-333.56
0,0,0,-336.02
0,0,0,-338.71
0,0,0,-341.52
0,0,0,-344.19
0,0,0,-346.54
0,0,0,-348.51
0,0,0,-350.16
0,0,0,-351.62
0,0,0,-353.02
0,0,0,-354.47
0,0,0,-356.05
0,0,0,-357.78
0,0,0,-359.62
0,0,0,-361.52
0,0,0,-363.47
0,0,0,-365.51
0,0,0,-367.73
0,0,0,-370.16
0,0,0,-372.78
0,0,0,-375.44
0,0,0,-377.97
0,0,0,-380.25
0,0,0,-382.32
0,0,0,-384.31
0,0,0,-386.31
0,0,0,-388.31
0,0,0,-390.19
0,0,0,-391.81
0,0,0,-393.14
0,0,0,-394.23
0,0,0,-395.21
0,0,0,-396.16
0,0,0,-397.14
0,0,0,-398.15
0,0,0,-399.2
0,0,0,-400.29
0,0,0,-401.37
0,0,0,-402.39
0,0,0,-403.31
0,0,0,-404.1
0,0,0,-404.72
0,0,0,-405.17
0,0,0,-405.46
0,0,0,-405.65
0,0,0,-405.79
0,0,0,-405.9
0,0,0,-405.99
0,0,0,-406.03
0,0,0,-8.9357
0.031773,-0.10395,0,-27.128
0.16644,-0.053369,0,-66.444
0.27182,-0.021616,0,-104.85
0.30762,-0.0035943,0,-135.73
0.30343,0.010714,0,-159.96
0.27635,0.017316,0,-178.94
0.24071,0.017848,0,-194.17
0.20682,0.015489,0,-206.98
0.17812,0.012842,0,-218.26
0.15419,0.011147,0,-228.44
0.13193,0.010924,0,-237.82
0.10951,0.011187,0,-246.51
0.086777,0.011155,0,-254.48
0.063185,0.011298,0,-261.73
