U:0,U:1,U:2,p
0,0,0,-2.68E-07
0,0,0,-3.97E-05
0,0,0,-0.00036177
0,0,0,-0.0011963
0,0,0,-0.0024764
0,0,0,-0.0040255
0,0,0,-0.0057064
0,0,0,-0.0074254
0,0,0,-0.0091107
0,0,0,-0.010706
0,0,0,-0.012168
0,0,0,-0.013465
0,0,0,-0.014573
0,0,0,-0.015474
0,0,0,-0.016153
0,0,0,-0.016596
0,0,0,-0.016797
0,0,0,-0.01675
0,0,0,-0.016453
0,0,0,-0.015905
0,0,0,-0.01511
0,0,0,-0.014073
0,0,0,-0.0128
0,0,0,-0.011297
0,0,0,-0.0095731
0,0,0,-0.0076378
0,0,0,-0.0055014
0,0,0,-0.0031724
0,0,0,-0.00065935
0,0,0,0.0020279
0,0,0,0.0048782
0,0,0,0.0078794
0,0,0,0.011019
0,0,0,0.014282
0,0,0,0.017657
0,0,0,0.021131
0,0,0,0.024692
0,0,0,0.028325
0,0,0,0.032012
0,0,0,0.035737
0,0,0,0.039483
0,0,0,0.043239
0,0,0,0.046987
0,0,0,0.05071
0,0,0,0.054389
0,0,0,0.058006
0,0,0,0.061547
0,0,0,0.064997
0,0,0,0.06834
0,0,0,0.071561
0,0,0,0.074642
0,0,0,0.077571
0,0,0,0.080338
0,0,0,0.082931
0,0,0,0.085337
0,0,0,0.087543
0,0,0,0.089537
0,0,0,0.091311
0,0,0,0.09286
0,0,0,0.09418
0,0,0,0.095266
0,0,0,0.096114
0,0,0,0.096723
0,0,0,0.097094
0,0,0,0.097227
0,0,0,0.097129
0,0,0,0.096805
0,0,0,0.096263
0,0,0,0.095515
0,0,0,0.09458
0,0,0,0.093482
0,0,0,0.092252
0,0,0,0.090924
0,0,0,0.08954
0,0,0,0.088149
0,0,0,0.086817
0,0,0,0.08562
0,0,0,0.084649
0,0,0,0.084011
0,0,0,0.083785
0,0,0,0.08378
0,0,0,1.24E-05
1.44E-05,-2.30E-05,0,-7.79E-05
3.84E-05,-3.24E-05,0,-0.0004619
6.06E-05,-2.64E-05,0,-0.0012767
6.50E-05,-9.04E-06,0,-0.0024698
4.15E-05,1.26E-05,0,-0.0038938
-1.34E-05,3.46E-05,0,-0.0054332
-9.96E-05,5.56E-05,0,-0.0070085
-0.00021562,7.47E-05,0,-0.0085563
-0.00035914,9.18E-05,0,-0.010025
-0.00052748,0.00010683,0,-0.011374
-0.00071789,0.00011993,0,-0.012571
-0.00092761,0.00013117,0,-0.013591
-0.0011539,0.00014064,0,-0.014416
-0.001394,0.00014842,0,-0.015031
-0.0016453,0.00015455,0,-0.015423
-0.0019055,0.00015913,0,-0.015585
-0.002172,0.00016228,0,-0.015511
-0.0024427,0.00016407,0,-0.015198
-0.0027154,0.00016455,0,-0.014645
-0.0029881,0.00016382,0,-0.013853
-0.0032589,0.00016198,0,-0.012829
-0.0035259,0.00015913,0,-0.011577
-0.0037876,0.00015531,0,-0.010104
-0.0040424,0.00015061,0,-0.0084158
-0.0042889,0.00014514,0,-0.0065226
-0.0045258,0.00013897,0,-0.0044333
-0.0047518,0.00013213,0,-0.0021562
-0.004966,0.00012466,0,0.0003002
-0.0051671,0.0001166,0,0.0029258
-0.0053543,0.00010801,0,0.0057101
-0.0055267,9.90E-05,0,0.008642
-0.0056835,8.95E-05,0,0.011709
-0.005824,7.96E-05,0,0.014897
-0.0059477,6.93E-05,0,0.018193
-0.0060538,5.88E-05,0,0.021585
-0.006142,4.79E-05,0,0.025063
-0.0062118,3.67E-05,0,0.02861
-0.0062628,2.54E-05,0,0.03221
-0.0062948,1.39E-05,0,0.035846
-0.0063075,2.38E-06,0,0.039504
-0.006301,-9.24E-06,0,0.04317
-0.0062751,-2.09E-05,0,0.046829
-0.0062299,-3.25E-05,0,0.050462
-0.0061656,-4.39E-05,0,0.054053
-0.0060824,-5.51E-05,0,0.057585
-0.0059807,-6.61E-05,0,0.061042
-0.0058609,-7.68E-05,0,0.06441
-0.0057236,-8.72E-05,0,0.067674
-0.0055693,-9.71E-05,0,0.070817
-0.0053987,-0.00010662,0,0.073825
-0.0052127,-0.00011556,0,0.076686
-0.0050121,-0.00012392,0,0.079389
-0.004798,-0.00013165,0,0.081923
-0.0045716,-0.0001387,0,0.084276
-0.0043339,-0.00014501,0,0.086434
-0.0040863,-0.0001505,0,0.088386
-0.0038303,-0.00015511,0,0.090126
-0.0035673,-0.00015878,0,0.091648
-0.003299,-0.00016145,0,0.092948
-0.0030271,-0.00016302,0,0.094022
-0.0027536,-0.00016344,0,0.094868
-0.0024804,-0.00016265,0,0.095483
-0.0022095,-0.00016056,0,0.095869
-0.0019432,-0.00015713,0,0.096028
-0.0016836,-0.00015231,0,0.095966
-0.0014333,-0.00014607,0,0.095688
-0.0011944,-0.00013835,0,0.095203
-0.00096955,-0.00012908,0,0.094523
-0.0007611,-0.00011822,0,0.093667
-0.00057156,-0.00010576,0,0.09266
-0.00040337,-9.17E-05,0,0.091529
-0.00025885,-7.62E-05,0,0.090309
-0.00014007,-5.93E-05,0,0.089037
-4.87E-05,-4.13E-05,0,0.087763
1.43E-05,-2.28E-05,0,0.086544
4.91E-05,-4.67E-06,0,0.085453
5.74E-05,1.14E-05,0,0.084568
4.43E-05,2.23E-05,0,0.083985
2.16E-05,2.15E-05,0,0.083778
0,0,0,0.083775
0,0,0,0.0002035
6.07E-06,-3.72E-05,0,1.94E-05
1.43E-05,-4.79E-05,0,-0.00048511
8.66E-06,-2.71E-05,0,-0.0012824
-2.77E-05,2.00E-05,0,-0.0023436
-0.0001081,7.91E-05,0,-0.0035708
-0.00023884,0.00014128,0,-0.0048825
-0.00042128,0.00020209,0,-0.0062206
-0.00065419,0.00025914,0,-0.0075377
-0.00093467,0.00031131,0,-0.0087921
-0.0012589,0.00035807,0,-0.0099459
-0.0016226,0.00039927,0,-0.010968
-0.0020212,0.00043498,0,-0.011834
-0.00245,0.00046529,0,-0.012526
-0.0029044,0.00049036,0,-0.013029
-0.0033796,0.00051035,0,-0.013331
-0.0038713,0.0005255,0,-0.013424
-0.0043751,0.00053604,0,-0.013301
-0.0048868,0.00054219,0,-0.012958
-0.0054025,0.00054417,0,-0.012394
-0.0059185,0.00054222,0,-0.011609
-0.0064311,0.00053662,0,-0.010607
-0.006937,0.00052759,0,-0.0093909
-0.007433,0.00051538,0,-0.0079682
-0.0079163,0.00050021,0,-0.0063449
-0.008384,0.00048231,0,-0.0045272
-0.0088336,0.00046191,0,-0.002522
-0.0092627,0.0004392,0,-0.00033744
-0.0096691,0.00041432,0,0.0020175
-0.010051,0.00038747,0,0.004533
-0.010406,0.00035881,0,0.0071994
-0.010733,0.00032851,0,0.010007
-0.011031,0.00029672,0,0.012944
-0.011297,0.0002636,0,0.015996
-0.011531,0.0002293,0,0.01915
-0.011732,0.00019393,0,0.022397
-0.011898,0.00015763,0,0.025725
-0.01203,0.00012052,0,0.029118
-0.012125,8.28E-05,0,0.032561
-0.012185,4.47E-05,0,0.036039
-0.012208,6.23E-06,0,0.039538
-0.012195,-3.23E-05,0,0.043045
-0.012145,-7.09E-05,0,0.046543
-0.012058,-0.00010922,0,0.050017
-0.011935,-0.00014715,0,0.05345
-0.011776,-0.00018446,0,0.056828
-0.011583,-0.00022098,0,0.060135
-0.011354,-0.00025656,0,0.063357
-0.011093,-0.00029102,0,0.066478
-0.010799,-0.00032418,0,0.069483
-0.010474,-0.00035582,0,0.07236
-0.01012,-0.00038571,0,0.075099
-0.0097382,-0.00041369,0,0.077689
-0.0093306,-0.00043956,0,0.080119
-0.0088994,-0.00046313,0,0.082376
-0.0084468,-0.00048419,0,0.084449
-0.0079754,-0.00050252,0,0.086327
-0.0074878,-0.0005179,0,0.088005
-0.006987,-0.00053012,0,0.08948
-0.0064761,-0.00053896,0,0.090746
-0.0059585,-0.00054419,0,0.0918
-0.0054376,-0.00054558,0,0.092639
-0.0049173,-0.00054291,0,0.093264
-0.0044014,-0.00053599,0,0.093678
-0.003894,-0.00052464,0,0.093883
-0.0033993,-0.00050874,0,0.093883
-0.0029217,-0.00048814,0,0.093686
-0.0024656,-0.00046273,0,0.0933
-0.0020354,-0.0004324,0,0.092739
-0.0016357,-0.00039711,0,0.092022
-0.0012708,-0.00035693,0,0.091169
-0.0009449,-0.00031204,0,0.090208
-0.00066191,-0.0002628,0,0.089168
-0.00042515,-0.00020985,0,0.088083
-0.00023704,-0.00015427,0,0.086997
-9.87E-05,-9.78E-05,0,0.085961
-9.52E-06,-4.33E-05,0,0.085033
3.40E-05,4.71E-06,0,0.084278
3.98E-05,3.88E-05,0,0.083766
2.30E-05,4.43E-05,0,0.083564
0,0,0,0.083547
