U:0,U:1,U:2,p
-0.0042823,0.00032282,0,0.00019363
-0.004581,0.00031516,0,0.00026527
-0.0048722,0.00030686,0,0.00034385
-0.0051553,0.00029798,0,0.00042923
-0.0054297,0.00028857,0,0.00052126
-0.0056949,0.00027865,0,0.00061981
-0.0059505,0.00026823,0,0.00072472
-0.0061958,0.00025733,0,0.00083582
-0.0064306,0.00024594,0,0.00095296
-0.0066542,0.00023406,0,0.001076
-0.0068664,0.0002217,0,0.0012046
-0.0070666,0.00020885,0,0.0013388
-0.0072543,0.00019552,0,0.0014782
-0.0074292,0.00018172,0,0.0016226
-0.0075908,0.00016744,0,0.0017719
-0.0077387,0.00015271,0,0.0019257
-0.0078724,0.00013752,0,0.0020838
-0.0079917,0.00012189,0,0.0022459
-0.008096,0.00010584,0,0.0024117
-0.008185,8.94E-05,0,0.0025809
-0.0082584,7.25E-05,0,0.0027531
-0.0083158,5.53E-05,0,0.002928
-0.0083568,3.77E-05,0,0.0031051
-0.0083813,1.98E-05,0,0.0032842
-0.008389,1.60E-06,0,0.0034648
-0.0083795,-1.69E-05,0,0.0036464
-0.0083527,-3.56E-05,0,0.0038286
-0.0083084,-5.45E-05,0,0.0040109
-0.0082465,-7.35E-05,0,0.0041929
-0.0081669,-9.27E-05,0,0.0043739
-0.0080694,-0.00011192,0,0.0045537
-0.0079541,-0.00013118,0,0.0047315
-0.0078209,-0.00015043,0,0.0049069
-0.0076701,-0.00016959,0,0.0050794
-0.0075015,-0.00018863,0,0.0052484
-0.0073155,-0.00020748,0,0.0054134
-0.0071122,-0.00022609,0,0.0055738
-0.0068919,-0.00024438,0,0.0057292
-0.0066549,-0.0002623,0,0.005879
-0.0064016,-0.00027978,0,0.0060227
-0.0061326,-0.00029672,0,0.0061598
-0.0058483,-0.00031304,0,0.0062897
-0.0055494,-0.00032862,0,0.006412
-0.0052367,-0.00034333,0,0.0065262
-0.004911,-0.00035701,0,0.0066318
-0.0045735,-0.00036945,0,0.0067285
-0.0042255,-0.00038037,0,0.0068157
-0.0038684,-0.00038943,0,0.0068932
-0.0035044,-0.00039622,0,0.0069605
-0.0031356,-0.00040021,0,0.0070175
-0.0027651,-0.00040076,0,0.0070639
-0.0023961,-0.00039712,0,0.0070997
-0.0020329,-0.00038842,0,0.0071249
-0.0016805,-0.00037369,0,0.0071397
-0.0013444,-0.0003519,0,0.0071446
-0.0010312,-0.00032207,0,0.0071403
-0.00074798,-0.00028336,0,0.0071279
-0.00050217,-0.00023539,0,0.007109
-0.00030092,-0.00017876,0,0.0070855
-0.00015004,-0.00011598,0,0.0070603
-5.27E-05,-5.31E-05,0,0.0070363
-7.79E-06,-4.23E-06,0,0.0070165
0,0,0,0.007008
0,0,0,5.28E-05
-2.39E-05,3.41E-05,0,4.22E-05
-9.65E-05,0.00012358,0,2.05E-05
-0.00023281,0.00023187,0,-1.67E-06
-0.00042995,0.00033974,0,-2.36E-05
-0.00068357,0.00043768,0,-4.40E-05
-0.00098729,0.0005213,0,-6.13E-05
-0.0013333,0.00058929,0,-7.40E-05
-0.0017135,0.00064214,0,-8.11E-05
-0.0021201,0.00068127,0,-8.20E-05
-0.002546,0.0007085,0,-7.61E-05
-0.0029851,0.00072571,0,-6.31E-05
-0.003432,0.00073473,0,-4.29E-05
-0.0038826,0.00073716,0,-1.54E-05
-0.0043332,0.00073438,0,1.96E-05
-0.004781,0.0007275,0,6.18E-05
-0.0052238,0.00071741,0,0.00011132
-0.0056597,0.00070476,0,0.00016799
-0.0060872,0.00069006,0,0.00023172
-0.0065052,0.00067366,0,0.0003024
-0.0069126,0.0006558,0,0.00037991
-0.0073084,0.00063665,0,0.00046413
-0.007692,0.00061631,0,0.00055491
-0.0080626,0.00059485,0,0.00065213
-0.0084194,0.0005723,0,0.00075563
-0.0087618,0.00054869,0,0.00086526
-0.0090891,0.00052402,0,0.00098087
-0.0094006,0.00049832,0,0.0011023
-0.0096959,0.00047159,0,0.0012293
-0.0099741,0.00044383,0,0.0013618
-0.010235,0.00041506,0,0.0014994
-0.010477,0.00038529,0,0.0016421
-0.010701,0.00035453,0,0.0017895
-0.010905,0.00032282,0,0.0019415
-0.01109,0.00029016,0,0.0020977
-0.011254,0.0002566,0,0.0022579
-0.011397,0.00022215,0,0.0024217
-0.011518,0.00018686,0,0.0025889
-0.011618,0.00015077,0,0.0027591
-0.011695,0.00011391,0,0.0029319
-0.011749,7.64E-05,0,0.003107
-0.011781,3.81E-05,0,0.003284
-0.011788,-6.77E-07,0,0.0034625
-0.011772,-4.00E-05,0,0.003642
-0.011732,-7.98E-05,0,0.003822
-0.011667,-0.00012,0,0.0040022
-0.011578,-0.00016049,0,0.004182
-0.011464,-0.00020119,0,0.004361
-0.011326,-0.00024201,0,0.0045385
-0.011163,-0.00028285,0,0.0047143
-0.010975,-0.00032361,0,0.0048876
-0.010762,-0.00036418,0,0.005058
-0.010525,-0.00040444,0,0.005225
-0.010264,-0.00044429,0,0.0053881
-0.0099794,-0.00048358,0,0.0055466
-0.0096711,-0.00052219,0,0.0057001
-0.0093399,-0.00055997,0,0.0058481
-0.0089863,-0.00059677,0,0.0059901
-0.0086109,-0.00063242,0,0.0061254
-0.0082147,-0.0006667,0,0.0062538
-0.0077985,-0.00069938,0,0.0063746
-0.0073633,-0.00073017,0,0.0064874
-0.0069106,-0.00075871,0,0.0065918
-0.0064418,-0.00078454,0,0.0066873
-0.0059587,-0.0008071,0,0.0067736
-0.0054637,-0.00082567,0,0.0068503
-0.0049593,-0.00083938,0,0.0069172
-0.0044488,-0.00084714,0,0.006974
-0.0039361,-0.00084766,0,0.0070206
-0.0034259,-0.00083944,0,0.007057
-0.0029238,-0.00082077,0,0.0070832
-0.0024362,-0.00078981,0,0.0070996
-0.0019705,-0.00074466,0,0.0071066
-0.001535,-0.00068358,0,0.007105
-0.0011386,-0.00060528,0,0.0070956
-0.00079051,-0.00050945,0,0.0070799
-0.00049943,-0.0003976,0,0.0070595
-0.00027241,-0.00027446,0,0.0070364
-0.00011442,-0.00015016,0,0.0070123
-2.92E-05,-4.53E-05,0,0.006988
0,0,0,0.0069759
0,0,0,8.61E-05
-4.32E-05,9.66E-05,0,7.14E-05
-0.00015266,0.0002533,0,4.38E-05
-0.0003434,0.00042948,0,1.95E-05
-0.00060681,0.00060201,0,-2.56E-06
-0.00093601,0.00075847,0,-2.21E-05
-0.0013233,0.00089273,0,-3.78E-05
-0.0017598,0.0010027,0,-4.89E-05
-0.0022361,0.001089,0,-5.45E-05
-0.0027434,0.0011534,0,-5.39E-05
-0.0032736,0.0011987,0,-4.69E-05
-0.0038195,0.0012277,0,-3.31E-05
-0.004375,0.0012432,0,-1.23E-05
-0.0049348,0.0012478,0,1.55E-05
-0.0054947,0.0012435,0,5.05E-05
-0.0060513,0.0012322,0,9.26E-05
-0.0066016,0.0012154,0,0.00014171
-0.0071435,0.0011942,0,0.00019784
-0.007675,0.0011693,0,0.0002609
-0.0081945,0.0011415,0,0.00033078
-0.0087008,0.001111,0,0.00040739
-0.0091927,0.0010783,0,0.00049061
-0.0096692,0.0010436,0,0.00058032
-0.010129,0.0010068,0,0.0006764
-0.010572,0.00096821,0,0.00077869
-0.010997,0.00092777,0,0.00088708
-0.011402,0.00088555,0,0.0010014
-0.011788,0.00084156,0,0.0011214
-0.012153,0.00079583,0,0.0012471
-0.012497,0.00074838,0,0.0013781
-0.012819,0.00069924,0,0.0015144
-0.013118,0.00064843,0,0.0016556
-0.013393,0.00059598,0,0.0018015
-0.013644,0.00054194,0,0.001952
-0.013871,0.00048635,0,0.0021066
-0.014072,0.00042925,0,0.0022653
-0.014246,0.0003707,0,0.0024275
-0.014394,0.00031077,0,0.0025932
-0.014514,0.00024953,0,0.0027618
-0.014607,0.00018706,0,0.002933
-0.014671,0.00012343,0,0.0031065
-0.014707,5.87E-05,0,0.0032819
-0.014713,-6.90E-06,0,0.0034588
-0.01469,-7.34E-05,0,0.0036367
-0.014637,-0.00014059,0,0.0038151
-0.014553,-0.0002084,0,0.0039937
-0.01444,-0.00027667,0,0.0041719
-0.014296,-0.00034525,0,0.0043493
-0.014121,-0.00041398,0,0.0045254
-0.013916,-0.00048271,0,0.0046996
-0.013681,-0.00055127,0,0.0048715
-0.013415,-0.00061946,0,0.0050405
-0.01312,-0.00068709,0,0.005206
-0.012794,-0.00075398,0,0.0053677
-0.01244,-0.0008199,0,0.005525
-0.012056,-0.00088464,0,0.0056772
-0.011645,-0.00094794,0,0.005824
-0.011206,-0.0010095,0,0.0059648
-0.010741,-0.0010691,0,0.0060991
-0.01025,-0.0011264,0,0.0062264
-0.0097343,-0.0011809,0,0.0063463
-0.0091958,-0.0012322,0,0.0064582
-0.008636,-0.0012796,0,0.0065618
-0.0080567,-0.0013224,0,0.0066567
-0.0074603,-0.0013596,0,0.0067424
-0.0068493,-0.0013901,0,0.0068188
-0.0062272,-0.0014123,0,0.0068854
-0.0055979,-0.0014246,0,0.0069422
-0.0049661,-0.0014249,0,0.006989
-0.0043374,-0.0014107,0,0.0070259
-0.0037184,-0.0013795,0,0.0070529
-0.0031166,-0.0013283,0,0.0070703
-0.0025406,-0.0012543,0,0.0070787
-0.002,-0.0011551,0,0.0070786
-0.0015048,-0.0010289,0,0.0070708
-0.0010655,-0.00087548,0,0.0070564
-0.00069202,-0.00069728,0,0.0070368
-0.00039284,-0.00050097,0,0.0070136
-0.00017556,-0.00029977,0,0.0069871
-5.02E-05,-0.00011829,0,0.0069563
0,0,0,0.0069397
0,0,0,0.00011897
-6.06E-05,0.00018668,0,0.0001002
-0.00020446,0.00042886,0,6.65E-05
-0.00044629,0.0006857,0,3.91E-05
-0.00077137,0.00093239,0,1.58E-05
-0.0011699,0.0011549,0,-3.84E-06
-0.0016326,0.0013459,0,-1.91E-05
-0.0021494,0.0015029,0,-2.93E-05
-0.00271,0.0016267,0,-3.39E-05
-0.0033047,0.0017198,0,-3.24E-05
-0.0039248,0.0017856,0,-2.46E-05
-0.0045621,0.0018281,0,-1.01E-05
-0.0052101,0.001851,0,1.11E-05
-0.0058629,0.0018579,0,3.92E-05
-0.0065156,0.0018518,0,7.41E-05
-0.0071643,0.0018354,0,0.00011605
-0.0078058,0.0018106,0,0.00016486
-0.0084374,0.001779,0,0.00022053
-0.0090569,0.001742,0,0.00028299
-0.0096624,0.0017004,0,0.00035217
-0.010252,0.0016548,0,0.00042798
-0.010825,0.0016058,0,0.00051033
-0.01138,0.0015536,0,0.00059909
-0.011915,0.0014984,0,0.00069416
-0.012431,0.0014403,0,0.0007954
-0.012924,0.0013795,0,0.00090268
-0.013396,0.0013161,0,0.0010158
-0.013844,0.00125,0,0.0011347
-0.014268,0.0011813,0,0.0012592
-0.014666,0.0011101,0,0.001389
-0.015039,0.0010364,0,0.001524
-0.015385,0.00096023,0,0.001664
-0.015703,0.00088167,0,0.0018087
-0.015993,0.00080078,0,0.0019579
-0.016254,0.00071763,0,0.0021113
-0.016485,0.00063229,0,0.0022687
-0.016685,0.00054485,0,0.0024298
-0.016854,0.00045541,0,0.0025941
-0.016991,0.00036408,0,0.0027615
-0.017096,0.00027097,0,0.0029315
-0.017167,0.00017621,0,0.0031038
-0.017205,7.99E-05,0,0.003278
-0.01721,-1.77E-05,0,0.0034536
-0.017179,-0.00011649,0,0.0036303
-0.017114,-0.00021631,0,0.0038076
-0.017014,-0.00031696,0,0.003985
-0.016879,-0.00041824,0,0.0041621
-0.016709,-0.00051991,0,0.0043384
-0.016503,-0.00062177,0,0.0045134
-0.016263,-0.00072356,0,0.0046865
-0.015987,-0.00082502,0,0.0048574
-0.015675,-0.0009259,0,0.0050254
-0.01533,-0.0010259,0,0.0051901
-0.01495,-0.0011248,0,0.0053509
-0.014536,-0.0012221,0,0.0055074
-0.014089,-0.0013177,0,0.0056589
-0.01361,-0.0014111,0,0.0058049
-0.013099,-0.0015019,0,0.0059451
-0.012558,-0.0015897,0,0.0060787
-0.011987,-0.001674,0,0.0062055
-0.011388,-0.0017541,0,0.0063248
-0.010763,-0.0018294,0,0.0064363
-0.010113,-0.0018988,0,0.0065395
-0.0094416,-0.0019614,0,0.006634
-0.0087502,-0.0020156,0,0.0067194
-0.0080423,-0.0020598,0,0.0067956
-0.0073217,-0.0020919,0,0.0068622
-0.006593,-0.0021094,0,0.006919
-0.0058614,-0.0021094,0,0.0069661
-0.0051332,-0.0020884,0,0.0070033
-0.0044157,-0.0020428,0,0.0070309
-0.0037172,-0.0019688,0,0.0070491
-0.0030472,-0.0018624,0,0.0070582
-0.002416,-0.0017205,0,0.0070589
-0.0018346,-0.0015407,0,0.0070518
-0.0013146,-0.001323,0,0.0070378
-0.00086709,-0.0010702,0,0.0070179
