U:0,U:1,U:2,p
1.26E-06,-4.13E-06,0,3.05E-09
-5.77E-06,3.44E-06,0,-1.74E-05
-3.80E-05,1.26E-05,0,-3.51E-05
-8.35E-05,1.73E-05,0,-4.66E-05
-0.00013746,1.94E-05,0,-4.96E-05
-0.0001947,2.01E-05,0,-4.39E-05
-0.00025291,2.01E-05,0,-3.00E-05
-0.00031111,2.00E-05,0,-8.11E-06
-0.00036893,1.98E-05,0,2.13E-05
-0.00042624,1.96E-05,0,5.81E-05
-0.00048297,1.93E-05,0,0.00010202
-0.00053911,1.91E-05,0,0.00015301
-0.00059461,1.89E-05,0,0.00021096
-0.00064945,1.87E-05,0,0.00027579
-0.00070356,1.84E-05,0,0.0003474
-0.0007569,1.81E-05,0,0.00042569
-0.00080941,1.79E-05,0,0.00051056
-0.00086105,1.76E-05,0,0.00060193
-0.00091176,1.72E-05,0,0.00069967
-0.0009615,1.69E-05,0,0.00080369
-0.0010102,1.65E-05,0,0.00091384
-0.0010578,1.62E-05,0,0.00103
-0.0011043,1.58E-05,0,0.0011521
-0.0011496,1.54E-05,0,0.0012799
-0.0011937,1.49E-05,0,0.0014133
-0.0012365,1.45E-05,0,0.0015521
-0.001278,1.40E-05,0,0.0016963
-0.0013181,1.36E-05,0,0.0018456
-0.0013569,1.31E-05,0,0.0019998
-0.0013942,1.26E-05,0,0.0021588
-0.00143,1.21E-05,0,0.0023225
-0.0014643,1.16E-05,0,0.0024906
-0.0014971,1.10E-05,0,0.0026629
-0.0015283,1.05E-05,0,0.0028393
-0.0015579,9.92E-06,0,0.0030196
-0.0015858,9.36E-06,0,0.0032036
-0.0016121,8.78E-06,0,0.003391
-0.0016366,8.20E-06,0,0.0035817
-0.0016595,7.60E-06,0,0.0037755
-0.0016806,7.00E-06,0,0.0039721
-0.0016999,6.39E-06,0,0.0041714
-0.0017175,5.77E-06,0,0.004373
-0.0017332,5.15E-06,0,0.0045769
-0.0017471,4.52E-06,0,0.0047828
-0.0017592,3.89E-06,0,0.0049904
-0.0017695,3.25E-06,0,0.0051996
-0.0017778,2.61E-06,0,0.00541
-0.0017843,1.96E-06,0,0.0056215
-0.0017889,1.32E-06,0,0.0058339
-0.0017916,6.66E-07,0,0.0060468
-0.0017924,1.40E-08,0,0.0062602
-0.0017914,-6.39E-07,0,0.0064736
-0.0017884,-1.29E-06,0,0.006687
-0.0017835,-1.95E-06,0,0.0069
-0.0017767,-2.60E-06,0,0.0071124
-0.0017681,-3.25E-06,0,0.007324
-0.0017575,-3.90E-06,0,0.0075344
-0.001745,-4.55E-06,0,0.0077436
-0.0017307,-5.19E-06,0,0.0079513
-0.0017145,-5.83E-06,0,0.0081571
-0.0016965,-6.47E-06,0,0.0083609
-0.0016767,-7.10E-06,0,0.0085624
-0.001655,-7.72E-06,0,0.0087614
-0.0016315,-8.34E-06,0,0.0089577
-0.0016062,-8.95E-06,0,0.0091509
-0.0015792,-9.55E-06,0,0.009341
-0.0015505,-1.01E-05,0,0.0095276
-0.00152,-1.07E-05,0,0.0097105
-0.0014879,-1.13E-05,0,0.0098895
-0.0014541,-1.19E-05,0,0.010064
-0.0014187,-1.24E-05,0,0.010235
-0.0013818,-1.30E-05,0,0.010401
-0.0013433,-1.35E-05,0,0.010562
-0.0013032,-1.40E-05,0,0.010718
-0.0012618,-1.45E-05,0,0.01087
-0.0012189,-1.50E-05,0,0.011015
-0.0011746,-1.55E-05,0,0.011156
-0.001129,-1.59E-05,0,0.01129
-0.0010822,-1.63E-05,0,0.011419
-0.0010341,-1.68E-05,0,0.011542
-0.00098479,-1.72E-05,0,0.011659
-0.00093438,-1.75E-05,0,0.011769
-0.0008829,-1.79E-05,0,0.011874
-0.00083041,-1.82E-05,0,0.011971
-0.00077695,-1.86E-05,0,0.012062
-0.0007226,-1.89E-05,0,0.012146
-0.0006674,-1.91E-05,0,0.012223
-0.00061142,-1.94E-05,0,0.012294
-0.00055471,-1.96E-05,0,0.012357
-0.00049731,-1.99E-05,0,0.012413
-0.00043928,-2.01E-05,0,0.012462
-0.00038065,-2.03E-05,0,0.012504
-0.00032148,-2.05E-05,0,0.012538
-0.00026192,-2.07E-05,0,0.012565
-0.00020235,-2.06E-05,0,0.012584
-0.0001438,-2.00E-05,0,0.012595
-8.85E-05,-1.81E-05,0,0.012598
-4.06E-05,-1.38E-05,0,0.012594
-7.00E-06,-6.06E-06,0,0.012584
2.60E-06,2.61E-06,0,0.012572
-8.01E-06,6.99E-06,0,5.87E-06
-4.75E-05,4.24E-05,0,-1.10E-05
-0.00013085,7.59E-05,0,-2.43E-05
-0.00024163,9.57E-05,0,-3.16E-05
-0.00036797,0.00010569,0,-3.19E-05
-0.00050213,0.00010991,0,-2.48E-05
-0.00063953,0.0001111,0,-1.02E-05
-0.00077778,0.00011091,0,1.19E-05
-0.0009157,0.00011018,0,4.14E-05
-0.0010528,0.00010922,0,7.81E-05
-0.0011886,0.00010815,0,0.00012195
-0.0013232,0.00010699,0,0.00017278
-0.0014563,0.00010575,0,0.00023054
-0.0015877,0.00010441,0,0.00029513
-0.0017175,0.00010298,0,0.00036649
-0.0018454,0.00010145,0,0.00044451
-0.0019712,9.98E-05,0,0.00052909
-0.002095,9.81E-05,0,0.00062014
-0.0022165,9.62E-05,0,0.00071755
-0.0023357,9.43E-05,0,0.00082121
-0.0024523,9.23E-05,0,0.00093099
-0.0025663,9.02E-05,0,0.0010468
-0.0026776,8.79E-05,0,0.0011684
-0.0027861,8.56E-05,0,0.0012958
-0.0028916,8.32E-05,0,0.0014288
-0.002994,8.08E-05,0,0.0015672
-0.0030933,7.82E-05,0,0.0017108
-0.0031892,7.55E-05,0,0.0018596
-0.0032818,7.28E-05,0,0.0020133
-0.003371,7.00E-05,0,0.0021718
-0.0034566,6.72E-05,0,0.002335
-0.0035385,6.42E-05,0,0.0025025
-0.0036168,6.12E-05,0,0.0026743
-0.0036912,5.82E-05,0,0.0028501
-0.0037617,5.51E-05,0,0.0030298
-0.0038283,5.19E-05,0,0.0032132
-0.0038909,4.87E-05,0,0.0034
-0.0039494,4.54E-05,0,0.0035901
-0.0040038,4.20E-05,0,0.0037832
-0.004054,3.87E-05,0,0.0039792
-0.0041,3.53E-05,0,0.0041778
-0.0041416,3.18E-05,0,0.0043789
-0.0041789,2.83E-05,0,0.0045821
-0.0042119,2.48E-05,0,0.0047873
-0.0042404,2.13E-05,0,0.0049943
-0.0042645,1.77E-05,0,0.0052028
-0.0042841,1.41E-05,0,0.0054125
-0.0042993,1.05E-05,0,0.0056234
-0.0043099,6.94E-06,0,0.0058351
-0.004316,3.31E-06,0,0.0060474
-0.0043176,-3.23E-07,0,0.00626
-0.0043147,-3.96E-06,0,0.0064728
-0.0043072,-7.60E-06,0,0.0066855
-0.0042951,-1.12E-05,0,0.0068978
-0.0042785,-1.49E-05,0,0.0071095
-0.0042574,-1.85E-05,0,0.0073204
-0.0042318,-2.21E-05,0,0.0075303
-0.0042017,-2.57E-05,0,0.0077388
-0.0041672,-2.93E-05,0,0.0079458
-0.0041282,-3.28E-05,0,0.008151
-0.0040848,-3.63E-05,0,0.0083541
-0.004037,-3.98E-05,0,0.008555
-0.0039849,-4.33E-05,0,0.0087533
-0.0039285,-4.67E-05,0,0.0089489
